Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Service,Packet Size,Flags
05-04-2026 11:48,13.204.106.34,192.168.29.158,HTTPS,443,51625,unknown,54,A
05-04-2026 11:48,192.168.29.158,13.204.106.34,HTTPS,51625,443,https,54,A
05-04-2026 11:48,192.168.29.78,224.0.0.251,DNS,5353,5353,unknown,102,-
05-04-2026 11:48,192.168.29.78,224.0.0.251,DNS,5353,5353,unknown,112,-
05-04-2026 11:48,192.168.29.78,224.0.0.22,UNKNOWN,-,-,n/a,62,-
05-04-2026 11:48,192.168.29.158,224.0.0.22,UNKNOWN,-,-,n/a,62,-
05-04-2026 11:48,192.168.29.78,224.0.0.251,DNS,5353,5353,unknown,102,-
05-04-2026 11:48,192.168.29.78,224.0.0.251,DNS,5353,5353,unknown,136,-
05-04-2026 11:48,192.168.29.78,224.0.0.251,DNS,5353,5353,unknown,203,-
05-04-2026 11:48,192.168.29.158,224.0.0.22,UNKNOWN,-,-,n/a,54,-
05-04-2026 11:48,192.168.29.52,224.0.0.22,UNKNOWN,-,-,n/a,60,-
05-04-2026 11:48,192.168.29.52,224.0.0.22,UNKNOWN,-,-,n/a,60,-
05-04-2026 11:48,192.168.29.52,224.0.0.22,UNKNOWN,-,-,n/a,60,-
05-04-2026 11:48,192.168.29.78,224.0.0.251,DNS,5353,5353,unknown,82,-
05-04-2026 11:48,192.168.29.78,224.0.0.251,DNS,5353,5353,unknown,465,-
05-04-2026 11:48,192.168.29.158,20.189.173.28,HTTPS,65508,443,https,167,PA
05-04-2026 11:48,192.168.29.158,20.189.173.28,HTTPS,65508,443,https,2571,PA
05-04-2026 11:48,192.168.29.158,192.168.29.78,TCP,58810,8009,unknown,164,PA
05-04-2026 11:48,192.168.29.78,192.168.29.158,TCP,8009,58810,unknown,168,PA
05-04-2026 11:48,192.168.29.158,192.168.29.78,TCP,58810,8009,unknown,164,PA
05-04-2026 11:48,192.168.29.78,192.168.29.158,TCP,8009,58810,unknown,164,PA
05-04-2026 11:48,20.189.173.28,192.168.29.158,HTTPS,443,65508,unknown,54,A
05-04-2026 11:48,20.189.173.28,192.168.29.158,HTTPS,443,65508,unknown,153,PA
05-04-2026 11:48,192.168.29.158,20.189.173.28,HTTPS,65508,443,https,89,PA
05-04-2026 11:48,192.168.29.158,192.168.29.78,TCP,58810,8009,unknown,54,A
05-04-2026 11:48,192.168.29.78,192.168.29.158,TCP,8009,58810,unknown,54,A
05-04-2026 11:48,20.189.173.28,192.168.29.158,HTTPS,443,65508,unknown,54,A
05-04-2026 11:48,192.168.29.52,224.0.0.22,UNKNOWN,-,-,n/a,60,-
05-04-2026 11:48,192.168.29.52,224.0.0.22,UNKNOWN,-,-,n/a,60,-
05-04-2026 11:48,192.168.29.52,224.0.0.22,UNKNOWN,-,-,n/a,60,-
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,66,S
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,66,SA
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,54,A
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,982,PA
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,54,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,1514,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,1514,A
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,54,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,1514,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,1514,A
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,54,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,1514,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,999,PA
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,54,A
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,134,PA
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,2838,PA
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,436,PA
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,54,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,54,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,54,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,54,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,513,PA
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,54,A
05-04-2026 11:48,192.168.29.79,224.0.0.22,UNKNOWN,-,-,n/a,54,-
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,1514,A
05-04-2026 11:48,13.107.137.11,192.168.29.158,HTTPS,443,51657,unknown,1141,PA
05-04-2026 11:48,192.168.29.158,13.107.137.11,HTTPS,51657,443,https,54,A
05-04-2026 11:48,192.168.29.158,52.104.160.25,HTTPS,51867,443,https,66,S
05-04-2026 11:48,52.104.160.25,192.168.29.158,HTTPS,443,51867,unknown,66,SA
05-04-2026 11:48,192.168.29.158,52.104.160.25,HTTPS,51867,443,https,54,A
05-04-2026 11:48,192.168.29.158,52.104.160.25,HTTPS,51867,443,https,629,PA
05-04-2026 11:48,192.168.29.158,3.111.241.224,HTTPS,61695,443,https,66,S
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,66,SA
05-04-2026 11:48,192.168.29.158,3.111.241.224,HTTPS,61695,443,https,54,A
05-04-2026 11:48,192.168.29.158,3.111.241.224,HTTPS,61695,443,https,1817,PA
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,54,A
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,54,A
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,181,PA
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,1514,A
05-04-2026 11:48,192.168.29.158,3.111.241.224,HTTPS,61695,443,https,54,A
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,1514,A
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,2974,A
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,269,PA
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,340,PA
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,112,PA
05-04-2026 11:48,192.168.29.158,3.111.241.224,HTTPS,61695,443,https,54,A
05-04-2026 11:48,192.168.29.158,3.111.241.224,HTTPS,61695,443,https,118,PA
05-04-2026 11:48,192.168.29.158,3.111.241.224,HTTPS,61695,443,https,1855,PA
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,54,A
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,54,A
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,54,A
05-04-2026 11:48,3.111.241.224,192.168.29.158,HTTPS,443,61695,unknown,526,PA
05-04-2026 11:48,192.168.29.158,3.111.241.224,HTTPS,61695,443,https,54,A
05-04-2026 11:48,52.104.160.25,192.168.29.158,HTTPS,443,51867,unknown,1514,A
05-04-2026 11:48,52.104.160.25,192.168.29.158,HTTPS,443,51867,unknown,1514,A
05-04-2026 11:48,52.104.160.25,192.168.29.158,HTTPS,443,51867,unknown,2974,A
05-04-2026 11:48,52.104.160.25,192.168.29.158,HTTPS,443,51867,unknown,284,PA
05-04-2026 11:48,192.168.29.158,52.104.160.25,HTTPS,51867,443,https,54,A
05-04-2026 11:48,192.168.29.158,52.104.160.25,HTTPS,51867,443,https,134,PA
05-04-2026 11:48,192.168.29.158,52.104.160.25,HTTPS,51867,443,https,2833,PA
05-04-2026 11:48,192.168.29.158,142.250.77.98,UDP,51018,443,https,1292,-
05-04-2026 11:48,192.168.29.158,142.250.77.98,UDP,51018,443,https,1292,-
05-04-2026 11:48,142.250.77.98,192.168.29.158,UDP,443,51018,unknown,82,-
